Pickup_date,East_Village,Gramercy,GVillage_N,GVillage_S,Little_Italy,LES,SoHo,Union_Sq
2015-01-27 18:00:00,408,278,254,230,272,211,233,422
2015-01-28 00:00:00,101,53,54,36,42,60,47,68
2015-01-28 06:00:00,490,339,305,160,211,223,263,323
2015-01-28 12:00:00,290,248,338,203,284,175,362,563
2015-01-28 18:00:00,582,426,450,413,580,337,486,1038
2015-01-29 00:00:00,150,59,67,61,65,104,55,121
2015-01-29 06:00:00,473,378,276,157,203,203,284,336
2015-01-29 12:00:00,299,285,376,234,348,181,357,740
2015-01-29 18:00:00,755,533,588,507,703,475,644,1312
2015-01-30 00:00:00,259,130,101,121,138,192,83,217
2015-01-30 06:00:00,605,394,362,197,256,210,242,419
2015-01-30 12:00:00,353,314,350,276,415,211,410,784
2015-01-30 18:00:00,1420,869,920,784,928,770,783,1504
2015-01-31 00:00:00,1023,357,328,530,443,840,275,439
2015-01-31 06:00:00,343,168,180,105,161,155,162,232
2015-01-31 12:00:00,743,438,521,400,525,458,556,748
2015-01-31 18:00:00,1640,890,893,810,851,854,732,1193
2015-02-01 00:00:00,1106,342,338,542,409,912,282,412
2015-02-01 06:00:00,269,184,164,95,132,158,108,144
2015-02-01 12:00:00,736,447,427,315,441,397,400,556
2015-02-01 18:00:00,885,624,546,398,398,362,423,811
2015-02-02 00:00:00,171,92,65,63,77,75,64,116
2015-02-02 06:00:00,602,474,413,216,269,226,303,441
2015-02-02 12:00:00,331,323,387,235,371,254,338,769
2015-02-02 18:00:00,464,377,468,356,478,276,511,1061
2015-02-03 00:00:00,119,60,60,56,62,71,61,84
2015-02-03 06:00:00,421,402,331,156,233,210,283,383
2015-02-03 12:00:00,282,272,326,221,372,174,410,739
2015-02-03 18:00:00,622,456,569,474,655,363,575,1220
2015-02-04 00:00:00,169,74,64,91,86,106,79,112
2015-02-04 06:00:00,515,344,312,158,241,261,277,349
2015-02-04 12:00:00,297,272,319,209,338,179,377,764
2015-02-04 18:00:00,551,424,528,402,634,351,539,1151
2015-02-05 00:00:00,146,67,67,101,79,126,92,117
2015-02-05 06:00:00,536,358,332,170,253,225,294,373
2015-02-05 12:00:00,323,316,397,226,403,205,423,864
2015-02-05 18:00:00,988,679,789,763,938,616,799,1762
2015-02-06 00:00:00,315,131,100,176,128,250,97,226
2015-02-06 06:00:00,512,435,306,187,278,211,302,339
2015-02-06 12:00:00,345,379,416,264,434,225,482,900
2015-02-06 18:00:00,1269,817,861,747,855,688,719,1529
2015-02-07 00:00:00,844,288,247,463,293,728,184,326
2015-02-07 06:00:00,329,191,176,106,136,144,157,180
2015-02-07 12:00:00,650,426,397,276,474,397,423,556
2015-02-07 18:00:00,1331,799,694,621,673,741,634,967
2015-02-08 00:00:00,1161,329,316,648,350,963,211,378
2015-02-08 06:00:00,242,155,151,89,121,138,118,180
2015-02-08 12:00:00,593,371,357,255,340,324,373,475
2015-02-08 18:00:00,542,266,283,247,311,283,246,412
2015-02-09 00:00:00,135,44,53,58,45,66,52,67
2015-02-09 06:00:00,590,462,368,185,229,257,255,377
2015-02-09 12:00:00,306,260,318,191,304,169,335,590
2015-02-09 18:00:00,459,342,425,379,529,273,469,939
2015-02-10 00:00:00,110,58,55,41,55,79,55,96
2015-02-10 06:00:00,437,319,274,164,232,221,290,323
2015-02-10 12:00:00,269,246,351,214,334,161,392,692
2015-02-10 18:00:00,596,433,523,465,605,435,592,1159
2015-02-11 00:00:00,172,80,75,81,80,115,85,120
2015-02-11 06:00:00,548,405,320,169,256,216,321,363
2015-02-11 12:00:00,325,275,378,231,373,198,434,815
2015-02-11 18:00:00,711,514,587,552,661,449,674,1335
2015-02-12 00:00:00,218,119,89,123,106,143,123,123
2015-02-12 06:00:00,554,380,302,186,247,249,291,368
2015-02-12 12:00:00,328,326,417,255,456,219,463,846
2015-02-12 18:00:00,922,640,846,728,955,716,854,1551
2015-02-13 00:00:00,384,173,172,195,221,336,216,299
2015-02-13 06:00:00,582,495,373,190,270,251,335,432
2015-02-13 12:00:00,424,397,467,328,489,245,486,940
2015-02-13 18:00:00,1510,929,1024,856,999,803,808,1815
2015-02-14 00:00:00,1060,423,386,500,403,861,324,537
2015-02-14 06:00:00,331,236,189,109,195,184,179,211
2015-02-14 12:00:00,736,484,541,458,627,532,653,806
2015-02-14 18:00:00,1646,856,973,848,918,962,954,1380
2015-02-15 00:00:00,1015,409,363,517,502,920,251,556
2015-02-15 06:00:00,248,187,159,84,175,170,120,164
2015-02-15 12:00:00,766,456,536,438,691,477,627,745
2015-02-15 18:00:00,1343,704,785,729,769,756,726,1157
2015-02-16 00:00:00,573,201,185,196,216,351,178,325
2015-02-16 06:00:00,373,293,272,157,224,218,216,272
2015-02-16 12:00:00,527,378,368,270,488,345,514,705
2015-02-16 18:00:00,755,395,517,451,601,467,497,889
2015-02-17 00:00:00,223,106,99,82,97,108,71,82
2015-02-17 06:00:00,633,503,368,188,289,248,341,453
2015-02-17 12:00:00,381,311,395,222,473,204,441,774
2015-02-17 18:00:00,704,414,593,427,679,416,586,1104
2015-02-18 00:00:00,180,99,97,97,97,114,81,145
2015-02-18 06:00:00,559,389,344,160,241,237,279,397
2015-02-18 12:00:00,326,295,347,221,408,222,434,774
2015-02-18 18:00:00,721,524,599,522,763,510,587,1269
2015-02-19 00:00:00,207,91,81,102,126,190,80,112
2015-02-19 06:00:00,580,430,363,181,272,279,316,408
2015-02-19 12:00:00,371,338,499,273,473,244,456,926
2015-02-19 18:00:00,1112,706,1006,877,983,757,935,2034
2015-02-20 00:00:00,354,176,138,169,159,312,120,258
2015-02-20 06:00:00,663,541,410,204,264,273,333,449
2015-02-20 12:00:00,464,407,524,314,542,277,574,1060
2015-02-20 18:00:00,1645,915,992,862,1143,895,852,1813
2015-02-21 00:00:00,946,344,310,483,344,755,232,473
2015-02-21 06:00:00,295,217,199,105,162,170,150,223
2015-02-21 12:00:00,849,562,531,450,667,534,674,885
2015-02-21 18:00:00,1907,1037,1138,910,1046,1035,766,1503
